nomination_id,movie_id,category,ceremony_year,film_year,won
1435,527,Best Film,1948,1947,TRUE
1436,252,Best Film,1949,1948,TRUE
1437,786,Best Film,1950,1949,TRUE
1438,40,Best Film,1951,1950,TRUE
1439,794,Best Film,1952,1951,TRUE
1440,801,Best Film,1953,1952,TRUE
1441,791,Best Film,1954,1953,TRUE
1442,802,Best Film,1955,1954,TRUE
1443,797,Best Film,1956,1955,TRUE
1444,792,Best Film,1957,1956,TRUE
1445,534,Best Film,1958,1957,TRUE
1446,455,Best Film,1959,1958,TRUE
1447,92,Best Film,1960,1959,TRUE
1448,518,Best Film,1961,1960,TRUE
1449,785,Best Film,1962,1961,TRUE
1450,324,Best Film,1963,1962,TRUE
1451,712,Best Film,1964,1963,TRUE
1452,183,Best Film,1965,1964,TRUE
1453,388,Best Film,1966,1965,TRUE
1454,743,Best Film,1967,1966,TRUE
1455,285,Best Film,1968,1967,TRUE
1456,580,Best Film,1969,1968,TRUE
1457,359,Best Film,1970,1969,TRUE
1458,118,Best Film,1971,1970,TRUE
1459,798,Best Film,1972,1971,TRUE
1460,121,Best Film,1973,1972,TRUE
1461,788,Best Film,1974,1973,TRUE
1462,795,Best Film,1975,1974,TRUE
1463,39,Best Film,1976,1975,TRUE
1464,410,Best Film,1977,1976,TRUE
1465,64,Best Film,1978,1977,TRUE
1466,306,Best Film,1979,1978,TRUE
1467,796,Best Film,1980,1979,TRUE
1468,558,Best Film,1981,1980,TRUE
1469,132,Best Film,1982,1981,TRUE
1470,226,Best Film,1983,1982,TRUE
1471,789,Best Film,1984,1983,TRUE
1472,607,Best Film,1985,1984,TRUE
1473,800,Best Film,1986,1985,TRUE
1474,23,Best Film,1987,1986,TRUE
1475,793,Best Film,1988,1987,TRUE
1476,611,Best Film,1989,1988,TRUE
1477,168,Best Film,1990,1989,TRUE
1478,243,Best Film,1991,1990,TRUE
1479,667,Best Film,1992,1991,TRUE
1480,272,Best Film,1993,1992,TRUE
1481,464,Best Film,1994,1993,TRUE
1482,220,Best Film,1995,1994,TRUE
1483,468,Best Film,1996,1995,TRUE
1484,560,Best Film,1997,1996,TRUE
1485,573,Best Film,1998,1997,TRUE
1486,474,Best Film,1999,1998,TRUE
1487,49,Best Film,2000,1999,TRUE
1488,235,Best Film,2001,2000,TRUE
1489,622,Best Film,2002,2001,TRUE
1490,639,Best Film,2003,2002,TRUE
1491,623,Best Film,2004,2003,TRUE
1492,520,Best Film,2005,2004,TRUE
1493,113,Best Film,2006,2005,TRUE
1494,648,Best Film,2007,2006,TRUE
1495,76,Best Film,2008,2007,TRUE
1496,487,Best Film,2009,2008,TRUE
1497,598,Best Film,2010,2009,TRUE
1498,609,Best Film,2011,2010,TRUE
1499,519,Best Film,2012,2011,TRUE
1500,69,Best Film,2013,2012,TRUE
1501,2,Best Film,2014,2013,TRUE
1502,105,Best Film,2015,2014,TRUE
1503,656,Best Film,2016,2015,TRUE
1504,320,Best Film,2017,2016,TRUE
1505,781,Best Film,2018,2017,TRUE
1506,451,Best Film,2019,2018,TRUE
1507,4,Best Film,2020,2019,TRUE
1508,401,Best Film,2021,2020,TRUE
1509,643,Best Film,2022,2021,TRUE
1510,41,Best Film,2023,2022,TRUE
1511,415,Best Film,2024,2023,TRUE
1512,149,Best Film,2025,2024,TRUE
1513,409,Best Film,2026,2025,TRUE
1941,801,Best Actor,1952,1951,TRUE
1942,307,Best Actor,1953,1952,TRUE
1943,843,Best Actor,1954,1953,TRUE
1944,797,Best Actor,1955,1954,TRUE
1945,844,Best Actor,1956,1955,TRUE
1946,534,Best Actor,1957,1956,TRUE
1947,455,Best Actor,1958,1957,TRUE
1948,845,Best Actor,1959,1958,TRUE
1949,846,Best Actor,1960,1959,TRUE
1950,847,Best Actor,1961,1960,TRUE
1951,324,Best Actor,1962,1961,TRUE
1952,848,Best Actor,1963,1962,TRUE
1953,849,Best Actor,1964,1963,TRUE
1954,164,Best Actor,1965,1964,TRUE
1955,36,Best Actor,1966,1965,TRUE
1956,850,Best Actor,1967,1966,TRUE
1957,617,Best Actor,1968,1967,TRUE
1958,359,Best Actor,1969,1968,TRUE
1959,458,Best Actor,1970,1969,TRUE
1960,798,Best Actor,1971,1970,TRUE
1961,121,Best Actor,1972,1971,TRUE
1962,851,Best Actor,1973,1972,TRUE
1963,852,Best Actor,1974,1973,TRUE
1964,39,Best Actor,1975,1974,TRUE
1965,853,Best Actor,1976,1975,TRUE
1966,395,Best Actor,1977,1976,TRUE
1967,306,Best Actor,1978,1977,TRUE
1968,360,Best Actor,1979,1978,TRUE
1969,90,Best Actor,1980,1979,TRUE
1970,558,Best Actor,1981,1980,TRUE
1971,132,Best Actor,1982,1981,TRUE
1972,226,Best Actor,1983,1982,TRUE
1973,557,Best Actor,1984,1983,TRUE
1974,607,Best Actor,1985,1984,TRUE
1975,315,Best Actor,1986,1985,TRUE
1976,631,Best Actor,1987,1986,TRUE
1977,790,Best Actor,1988,1987,TRUE
1978,13,Best Actor,1989,1988,TRUE
1979,102,Best Actor,1990,1989,TRUE
1980,667,Best Actor,1991,1990,TRUE
1981,854,Best Actor,1992,1991,TRUE
1982,463,Best Actor,1993,1992,TRUE
1983,286,Best Actor,1994,1993,TRUE
1984,218,Best Actor,1995,1994,TRUE
1985,325,Best Actor,1996,1995,TRUE
1986,466,Best Actor,1997,1996,TRUE
1987,319,Best Actor,1998,1997,TRUE
1988,474,Best Actor,1999,1998,TRUE
1989,49,Best Actor,2000,1999,TRUE
1990,235,Best Actor,2001,2000,TRUE
1991,244,Best Actor,2002,2001,TRUE
1992,639,Best Actor,2003,2002,TRUE
1993,623,Best Actor,2004,2003,TRUE
1994,520,Best Actor,2005,2004,TRUE
1995,113,Best Actor,2006,2005,TRUE
1996,612,Best Actor,2007,2006,TRUE
1997,76,Best Actor,2008,2007,TRUE
1998,364,Best Actor,2009,2008,TRUE
1999,153,Best Actor,2010,2009,TRUE
2000,609,Best Actor,2011,2010,TRUE
2001,519,Best Actor,2012,2011,TRUE
2002,334,Best Actor,2013,2012,TRUE
2003,2,Best Actor,2014,2013,TRUE
2004,683,Best Actor,2015,2014,TRUE
2005,656,Best Actor,2016,2015,TRUE
2006,349,Best Actor,2017,2016,TRUE
2007,163,Best Actor,2018,2017,TRUE
2008,100,Best Actor,2019,2018,TRUE
2009,302,Best Actor,2020,2019,TRUE
2010,565,Best Actor,2021,2020,TRUE
2011,643,Best Actor,2022,2021,TRUE
2012,524,Best Actor,2023,2022,TRUE
2013,415,Best Actor,2024,2023,TRUE
2014,149,Best Actor,2025,2024,TRUE
2015,855,Best Actor,2026,2025,TRUE
2016,27,Best Actress,1952,1951,TRUE
2017,856,Best Actress,1953,1952,TRUE
2018,452,Best Actress,1954,1953,TRUE
2019,545,Best Actress,1955,1954,TRUE
2020,857,Best Actress,1956,1955,TRUE
2021,858,Best Actress,1957,1956,TRUE
2022,859,Best Actress,1958,1957,TRUE
2023,455,Best Actress,1959,1958,TRUE
2024,119,Best Actress,1960,1959,TRUE
2025,860,Best Actress,1961,1960,TRUE
2026,861,Best Actress,1962,1961,TRUE
2027,273,Best Actress,1963,1962,TRUE
2028,823,Best Actress,1964,1963,TRUE
2029,862,Best Actress,1965,1964,TRUE
2030,743,Best Actress,1966,1965,TRUE
2031,863,Best Actress,1967,1966,TRUE
2032,617,Best Actress,1968,1967,TRUE
2033,359,Best Actress,1969,1968,TRUE
2034,864,Best Actress,1970,1969,TRUE
2035,865,Best Actress,1971,1970,TRUE
2036,121,Best Actress,1972,1971,TRUE
2037,866,Best Actress,1973,1972,TRUE
2038,867,Best Actress,1974,1973,TRUE
2039,39,Best Actress,1975,1974,TRUE
2040,853,Best Actress,1976,1975,TRUE
2041,395,Best Actress,1977,1976,TRUE
2042,306,Best Actress,1978,1977,TRUE
2043,550,Best Actress,1979,1978,TRUE
2044,318,Best Actress,1980,1979,TRUE
2045,416,Best Actress,1981,1980,TRUE
2046,868,Best Actress,1982,1981,TRUE
2047,190,Best Actress,1983,1982,TRUE
2048,789,Best Actress,1984,1983,TRUE
2049,607,Best Actress,1985,1984,TRUE
2050,23,Best Actress,1986,1985,TRUE
2051,869,Best Actress,1987,1986,TRUE
2052,513,Best Actress,1988,1987,TRUE
2053,161,Best Actress,1989,1988,TRUE
2054,186,Best Actress,1990,1989,TRUE
2055,870,Best Actress,1991,1990,TRUE
2056,702,Best Actress,1992,1991,TRUE
2057,640,Best Actress,1993,1992,TRUE
2058,655,Best Actress,1994,1993,TRUE
2059,468,Best Actress,1995,1994,TRUE
2060,466,Best Actress,1996,1995,TRUE
2061,560,Best Actress,1997,1996,TRUE
2062,871,Best Actress,1998,1997,TRUE
2063,474,Best Actress,1999,1998,TRUE
2064,49,Best Actress,2000,1999,TRUE
2065,137,Best Actress,2001,2000,TRUE
2066,244,Best Actress,2002,2001,TRUE
2067,595,Best Actress,2003,2002,TRUE
2068,872,Best Actress,2004,2003,TRUE
2069,834,Best Actress,2005,2004,TRUE
2070,736,Best Actress,2006,2005,TRUE
2071,648,Best Actress,2007,2006,TRUE
2072,76,Best Actress,2008,2007,TRUE
2073,873,Best Actress,2009,2008,TRUE
2074,874,Best Actress,2010,2009,TRUE
2075,95,Best Actress,2011,2010,TRUE
2076,875,Best Actress,2012,2011,TRUE
2077,759,Best Actress,2013,2012,TRUE
2078,98,Best Actress,2014,2013,TRUE
2079,683,Best Actress,2015,2014,TRUE
2080,114,Best Actress,2016,2015,TRUE
2081,320,Best Actress,2017,2016,TRUE
2082,781,Best Actress,2018,2017,TRUE
2083,566,Best Actress,2019,2018,TRUE
2084,352,Best Actress,2020,2019,TRUE
2085,401,Best Actress,2021,2020,TRUE
2086,839,Best Actress,2022,2021,TRUE
2087,727,Best Actress,2023,2022,TRUE
2088,432,Best Actress,2024,2023,TRUE
2089,149,Best Actress,2025,2024,TRUE
2090,253,Best Actress,2026,2025,TRUE
2091,617,Best Director,1968,1967,TRUE
2092,359,Best Director,1969,1968,TRUE
2093,751,Best Director,1970,1969,TRUE
2094,798,Best Director,1971,1970,TRUE
2095,121,Best Director,1972,1971,TRUE
2096,851,Best Director,1973,1972,TRUE
2097,867,Best Director,1974,1973,TRUE
2098,136,Best Director,1975,1974,TRUE
2099,410,Best Director,1976,1975,TRUE
2100,395,Best Director,1977,1976,TRUE
2101,64,Best Director,1978,1977,TRUE
2102,550,Best Director,1979,1978,TRUE
2103,318,Best Director,1980,1979,TRUE
2104,558,Best Director,1981,1980,TRUE
2105,132,Best Director,1982,1981,TRUE
2106,226,Best Director,1983,1982,TRUE
2107,789,Best Director,1984,1983,TRUE
2108,607,Best Director,1985,1984,TRUE
2109,23,Best Director,1986,1985,TRUE
2110,430,Best Director,1987,1986,TRUE
2111,611,Best Director,1988,1987,TRUE
2112,13,Best Director,1989,1988,TRUE
2113,102,Best Director,1990,1989,TRUE
2114,667,Best Director,1991,1990,TRUE
2115,728,Best Director,1992,1991,TRUE
2116,640,Best Director,1993,1992,TRUE
2117,464,Best Director,1994,1993,TRUE
2118,220,Best Director,1995,1994,TRUE
2119,468,Best Director,1996,1995,TRUE
2120,560,Best Director,1997,1996,TRUE
2121,319,Best Director,1998,1997,TRUE
2122,474,Best Director,1999,1998,TRUE
2123,49,Best Director,2000,1999,TRUE
2124,235,Best Director,2001,2000,TRUE
2125,622,Best Director,2002,2001,TRUE
2126,639,Best Director,2003,2002,TRUE
2127,623,Best Director,2004,2003,TRUE
2128,520,Best Director,2005,2004,TRUE
2129,113,Best Director,2006,2005,TRUE
2130,648,Best Director,2007,2006,TRUE
2131,76,Best Director,2008,2007,TRUE
2132,487,Best Director,2009,2008,TRUE
2133,598,Best Director,2010,2009,TRUE
2134,609,Best Director,2011,2010,TRUE
2135,519,Best Director,2012,2011,TRUE
2136,69,Best Director,2013,2012,TRUE
2137,247,Best Director,2014,2013,TRUE
2138,105,Best Director,2015,2014,TRUE
2139,656,Best Director,2016,2015,TRUE
2140,320,Best Director,2017,2016,TRUE
2141,781,Best Director,2018,2017,TRUE
2142,451,Best Director,2019,2018,TRUE
2143,4,Best Director,2020,2019,TRUE
2144,401,Best Director,2021,2020,TRUE
2145,643,Best Director,2022,2021,TRUE
2146,41,Best Director,2023,2022,TRUE
2147,415,Best Director,2024,2023,TRUE
2148,149,Best Director,2025,2024,TRUE
2149,409,Best Director,2026,2025,TRUE